collision_index,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,casualty_type
2021170L51411,1,1,3,1,34,6,2,0
2021430407019,1,1,3,1,13,3,3,0
2022010366509,1,1,3,1,41,7,2,0
2022552201391,1,1,3,1,23,5,3,0
2022622300135,1,1,3,1,79,11,2,0
2023201293894,1,1,3,1,35,6,3,0
2022440060639,2,1,1,1,12,3,3,1
2024131423668,2,1,1,1,39,7,3,1
2020430089256,2,1,1,1,36,7,3,3
202417L105124,1,1,1,1,60,9,3,5
2020220987289,1,1,1,2,27,6,3,9
2020500934949,2,1,1,1,53,8,3,9
2021991109530,2,1,2,2,15,3,2,9
2022061231297,2,1,1,2,33,6,3,9
2022471252276,2,3,2,2,19,4,3,9
2023440217042,1,1,1,1,49,8,3,9
2023520301801,3,3,1,1,42,7,3,9
2023531305025,2,2,1,1,82,11,2,9
2023552300686,2,1,1,1,64,9,3,9
2024311526462,1,1,1,2,36,7,3,9
2022440506750,4,1,1,1,34,6,3,19
2022010361329,2,1,1,1,23,5,3,23
2023461344108,2,1,1,1,25,5,3,-1
2020160933368,1,1,3,2,13,3,3,0
2021401089476,1,1,3,1,9,2,2,0
2022201189937,1,1,3,2,25,5,2,0
2023430496320,1,1,3,1,62,9,3,0
2024421448886,2,1,1,2,59,9,2,1
2024010499142,1,1,1,1,27,6,3,3
2021010322437,2,1,1,1,32,6,2,4
2021622100786,1,1,1,1,26,6,1,5
2022111188293,1,1,1,1,68,10,2,5
202063C062720,2,1,1,2,67,10,3,9
2021010317044,1,3,2,2,26,6,3,9
2021122100892,1,5,2,1,18,4,3,9
2021221097967,2,1,1,1,56,9,3,9
2021622100840,2,2,2,2,3,1,3,9
2021991026140,1,1,2,2,17,4,3,9
2022010383325,2,3,1,1,38,7,3,9
2022141138028,1,1,1,1,37,7,3,9
2023351364732,1,1,1,2,52,8,3,9
2023471280513,2,3,2,2,28,6,3,9
2024221428674,1,1,1,2,28,6,3,9
2024302400033,1,2,2,1,26,6,3,9
2023461318629,2,2,1,1,49,8,3,19
2020010259194,1,1,3,1,8,2,2,0
2021061133761,1,1,3,2,30,6,3,0
2021221111854,1,1,3,2,30,6,3,0
202131D016321,2,1,3,1,67,10,3,0
2023061387199,1,1,3,2,55,8,3,0
2024010495542,1,1,3,2,19,4,3,0
2024622400174,1,1,3,2,12,3,3,0
2021991063017,2,1,1,1,44,7,3,1
2023010463836,1,1,1,2,18,4,3,1
2023430382423,2,1,1,2,56,9,3,1
2024421397869,2,2,1,1,59,9,3,1
2023010423489,1,1,1,1,51,8,3,4
2020201000001,1,1,2,2,21,5,3,9
2020201006183,1,1,2,1,17,4,3,9
2021131094146,2,3,2,1,7,2,3,9
2022010382478,2,1,1,2,57,9,3,9
2022141156576,1,1,1,1,84,11,2,9
20225222SG667,2,1,2,2,60,9,3,9
2022622200171,1,1,1,1,65,9,3,9
2022622200806,2,2,1,1,55,8,3,9
2023351282577,2,1,1,1,39,7,2,9
2024041409941,2,2,1,1,35,6,2,9
2024070202856,3,2,2,2,78,11,3,9
2024221435543,2,3,2,2,21,5,3,9
202454E288224,1,1,1,2,73,10,3,9
2020622000821,1,2,2,2,41,7,3,10
2020450966853,2,1,1,1,64,9,2,19
2023421308403,1,1,3,1,16,4,2,0
2020622000575,1,1,1,1,13,3,3,1
2023010460877,2,1,1,1,31,6,3,1
2024221474992,2,1,1,1,36,7,3,1
2020010281689,1,3,2,2,25,5,3,9
2020070758827,2,1,1,1,22,5,3,9
2020161014949,2,1,1,1,21,5,3,9
2020400956113,2,1,2,1,58,9,3,9
2020552001132,2,1,2,1,7,2,3,9
2021010339042,1,1,1,2,31,6,3,9
2021302101395,1,1,1,2,65,9,3,9
2021461101387,1,1,1,2,29,6,3,9
2022201263863,1,1,1,1,19,4,3,9
2022471226725,2,1,1,1,30,6,3,9
2023552301512,2,1,1,1,38,7,3,9
2024231434371,1,1,1,2,84,11,3,9
2021421066748,2,2,1,1,39,7,3,19
2021070130584,1,2,3,1,52,8,3,0
2021201092496,1,1,3,1,45,7,3,0
2023430543037,1,1,3,2,22,5,3,0
2020430044878,1,1,1,1,57,9,3,1
2022332200934,2,1,1,1,12,3,2,1
2020137CC0352,1,1,1,1,32,6,3,3
2020070630804,1,2,2,2,15,3,2,9
2020400929360,2,2,1,1,30,6,3,9
2020420963409,1,2,2,2,17,4,3,9
2020430292879,1,1,1,2,43,7,2,9
2021010296200,1,1,1,2,43,7,3,9
2021010344644,1,1,2,2,26,6,3,9
2022131230550,1,1,1,2,18,4,3,9
2022201162282,1,1,1,1,23,5,3,9
2023041268550,2,1,1,1,59,9,3,9
2023041335531,1,1,1,2,32,6,3,9
2023421280219,1,1,1,1,58,9,3,21
202031A105720,2,1,3,1,25,5,3,0
2022170L10512,1,1,3,1,4,1,1,0
2022430531031,1,1,3,2,84,11,3,0
2023320144558,1,2,3,2,42,7,2,0
2022010377083,1,1,1,1,37,7,3,1
2020010265287,1,1,1,1,46,8,3,3
2021010352056,1,1,1,1,35,6,3,3
2024010516203,1,1,1,1,22,5,3,3
2024430495419,1,1,1,1,27,6,3,3
2020052002448,2,1,1,1,52,8,3,5
2021010322049,1,3,2,2,12,3,3,9
2021161090808,1,1,1,1,19,4,3,9
2021991045283,1,1,2,2,43,7,2,9
2022501199720,1,2,2,2,56,9,2,9
2023320776943,2,1,1,2,42,7,3,9
2023411283519,2,3,2,2,23,5,3,9
2024010551303,2,1,1,1,74,10,3,9
2024340NN2402,2,1,1,1,51,8,3,9
2024401519136,2,1,1,1,41,7,3,9
2024440200370,1,1,1,2,76,11,3,9
